Banco;Cuenta;TipoRec;Fecha Corte;Fecha Trn;ValorTotal;Divipo;%;ot
52;;SIMIT;2007-08-15;2007-08-15;5094162,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;6409213,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;4916576,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;4456536,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;5846573,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;4407203,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;196483,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;5501873,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;6701039,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;5568922,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5938398,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5470578,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5777256,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;4444997,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;204926,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;4997571,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5422101,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;438943,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;4510565,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5336074,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5811309,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5687576,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;4222318,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;402853,00;05001000;10;Medellin
52;;SIMIT;2007-08-23;2007-08-23;5707732,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4984217,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4691108,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4797872,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;357420,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4894667,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;5032439,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4871267,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4136832,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;4949638,00;05001000;10;Medellin
52;;SIMIT;2007-09-14;2007-09-14;156280,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;4584667,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;5135856,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;5349848,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;4422758,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;238382,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;5092053,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;4712168,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;4985117,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;3943964,00;05001000;10;Medellin
52;;SIMIT;2007-09-22;2007-09-22;5114210,00;05001000;10;Medellin
