"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"20060000";"110000.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"BOSCONIA";
"05237000";"2561385.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"DON MATIAS";
"68229000";"229075.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"CURITI";
"20060000";"509329.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"25/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"127410.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"10/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"110991.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"127056.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"110216.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"13/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"113592.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"13/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"102155.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"13/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"131058.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"14/02/2014";"28/02/2014";"BOSCONIA";
"23417000";"57050.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"17/02/2014";"28/02/2014";"LORICA";
"05318000";"6321953.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"GUARNE";
"05440000";"5924501.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"MARINILLA";
"20060000";"199932.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"84703.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"185689.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"BOSCONIA";
"20238000";"148500.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"19/02/2014";"28/02/2014";"EL COPEY";
"20060000";"127056.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"19/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"100022.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"19/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"47816.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"20/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"56796.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"21/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"84703.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"21/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"200268.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"21/02/2014";"28/02/2014";"BOSCONIA";
"68229000";"230175.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"CURITI";
"20060000";"84256.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"BOSCONIA";
"54261000";"82354224.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"EL ZULIA";
"23417000";"10000.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"04/02/2014";"28/02/2014";"LORICA";
"23162000";"8023.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"CERETE";
"05660000";"129143.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"SAN LUIS ANTIOQUIA";
"20060000";"198265.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"03/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"90349.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"03/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"55000.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"03/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"101643.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"04/02/2014";"28/02/2014";"BOSCONIA";
"68655000";"11567189.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"13/02/2014";"28/02/2014";"SABANA DE TORRES";
"20060000";"127056.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"19/02/2014";"28/02/2014";"BOSCONIA";
"68229000";"115390.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"19/02/2014";"28/02/2014";"CURITI";
"23417000";"5553.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"25/02/2014";"28/02/2014";"LORICA";
"68229000";"63525.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"CURITI";
