Fecha;Cod. Trn.;Descripcion Movimiento;Referencia;Debito;Credito;Imp. GMF;Oficina;
25/11/2010;253;NC INTERNET TRANSFERENCIAS ENTRE TERCEROS INTERNET;217;;24,938.00;0.00;INTERNET BANCA VIRTUAL;
25/11/2010;252;DEPOSITO AHORROS;0;;12,425.00;;TUMACO;
25/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
25/11/2010;252;DEPOSITO AHORROS;0;;14,000.00;;FLORIDA-VALLE;
25/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
25/11/2010;252;DEPOSITO AHORROS;0;;6,626.00;;TUMACO;
25/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
25/11/2010;264;ND PRD AUT VENTA CHEQUE DE GERENCIA;400;12,857,682.00;;51,431.00;AVENIDA CHILE;
25/11/2010;252;DEPOSITO AHORROS;0;;6,155.00;;TUMACO;
25/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
25/11/2010;253;NC INTERNET TRANSFERENCIAS ENTRE TERCEROS INTERNET;217;;75,720.00;0.00;INTERNET BANCA VIRTUAL;
25/11/2010;252;DEPOSITO AHORROS;0;;1,108,188.00;;QUIMBAYA;
25/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;QUIMBAYA;
25/11/2010;221;INTERESES DE AHORROS;0;;1,683.00;;AVENIDA CHILE;
26/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;MIRANDA;
26/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MIRANDA;
26/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;MIRANDA;
26/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MIRANDA;
26/11/2010;252;DEPOSITO AHORROS;0;;12,875.00;;TUMACO;
26/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
26/11/2010;252;DEPOSITO AHORROS;0;;12,425.00;;TUMACO;
26/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
26/11/2010;252;DEPOSITO AHORROS;0;;24,850.00;;TUMACO;
26/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
